Butikk;Longitude;Latitude;Forvalt.visitorAddress.addressLine;Forvalt.visitorAddress.postPlace;Forvalt.visitorAddress.zipCode;Kjøpesenter
HEIDENREICH AS AVD RYEN;10,808476;59,890003;Sandstuveien 70 A;Oslo;0680;
BRØDR BERG STEININDUSTRI AS AVD PORSGRUNN;9,66559096;59,1354635;Håndverksvegen 5;Porsgrunn;3917;
CARLINGS HAUGESUND AVD 51B;5,30788142;59,37792906;Austbøvegen 16;Karmsund;5542;
TILBORDS JÆRHAGEN;5,626291296;58,77931345;Solavegen 25;Kleppe;4351;Jærhagen
KAPPAHL AS AVD 318 SKI;10,83535822;59,71745911;Jernbanesvingen 2;Ski;1400;Ski Storsenter
MONTÉR SKJERVØY;20,97829729;70,03392659;Havnegata 28;Skjervøy;9180;
AKZO NOBEL COATINGS AS AVD LAKSEVÅG;5,29974555;60,37177426;Øvre Fyllingsveien 81;Laksevåg;5161;
AKZO NOBEL COATINGS AS AVD STÅLVERKSVEIEN;10,79344247;59,91647982;Stålverksveien 2;Oslo;0661;
BGN RETAIL AS AVD ZIZZI STEINKJER;11,49253863;64,01028402;Sjøfartsgata 6;Steinkjer;7714;AMFI Steinkjer
GRANIT FUNKTION OG FORVARING AS AVD STRØMMEN;11,00733283;59,94728603;Strømmen Storsenter Støperiveien 5;Strømmen;2010;
FLYING TIGER COPENHAGEN TVEITA;10,84189709;59,91383566;Tvetenveien 150;Oslo;0671;
MILRAB AS AVD VESTBY;10,75000599;59,5774377;Stormåsan 30;Vestby;1540;
KROKEN CARAVAN AS AVD OSLO;11,14690624;60,08524028;Haugervegen 5;Kløfta;2040;
MONTÉR RENA;11,36720825;61,13161443;Jernbanegata 14;Rena;2450;
CHRISTIANIA BELYSNING AS AVD TREKANTEN ASKER;10,43419666;59,83668167;Knud Askers vei 26;Asker;1383;
SELFMADE NORGE AS AVD POSTORDRE;10,2477434;59,69840283;Gråterudveien 5;Drammen;3036;
SKO-HUUSE AS AVD 01 LAGER/ADMINISTRASJON;10,68849325;60,79485582;Storgata 15;Gjøvik;2815;
BRØDRENE DAHL AS AVD SOGNDAL;7,22320328;61,19489759;Kloppavegen 5;Kaupanger;6854;
BYGGMAKKER HANDEL AS AVD RINGSAKER;10,78481747;60,98167559;Åsmarkvegen 842;Næroset;2364;
AMER SPORTS NORGE AS AVD PEAK PERFOMANCE BERGEN;5,3248305;60,39254053;Rådhusgaten 4;Bergen;5014;
GUSTAVSBERG AS AVD SALG;10,7157243;59,92866055;Bogstadveien 66A;Oslo;0366;
COOP FINNMARK SA AVD PRIX BJØRNEVATN;29,98481181;69,6666982;Grubeveien 4;Bjørnevatn;9910;
MALORAMA AS AVD TROMSØ;18,92883026;69,67612176;Heilovegen 22;Tromsø;9015;
JYSK SANDNES AVD 519;5,74295399;58,85018878;Gravarsveien 30;Sandnes;4306;
INTERSPORT STJØRDAL;10,91124796;63,44783053;Sandfærhus 24;Stjørdal;7502;Hell senteret
BRØDRENE DAHL AS AVD SKI;10,79355386;59,72109964;Haugenveien 5;Ski;1423;
TOOLS AS AVD HAMAR;11,05290921;60,83814817;Gjerluvegen 1C;Furnes;2320;
MARKED SKROVA 2464;14,66096693;68,16690003;Været 7;Skrova;8320;
TREND TRYSIL;12,26125241;61,31541416;Storvegen 2;Trysil;2420;
BYGGMAKKER HANDEL AS AVD FREDRIKSTAD SAXEGÅRD;10,99203027;59,25453051;Rådalsveien 5;Rolvsøy;1663;
AHLSELL NORGE AS AVD FØRDE;5,83869866;61,45778024;Fjærevegen 4;Førde;6800;
COOP NORDVEST SA (1546) COOP MARKED GJERDSVIKA;5,58515044;62,25812539;Dekkevegen 2;Gjerdsvika;6083;
COOP NORDVEST SA (1656) COOP MARKED RINDALSSKOGEN;9,323120685;63,09776934;Rindalslina 1605;Rindalsskogen;6658;
COOP NORDVEST SA (1528) COOP MARKED BARSTADVIK;6,267232413;62,35992884;Sjøbakkane 1;Barstadvik;6174;
PLANTASJEN NORGE AS AVD STEINKJER;11,49707952;64,00842795;Sjøfartsgata 14;Steinkjer;7714;
GUDRUN SJØDEN AS AVD OSLO;10,74186474;59,91357878;Akersgata 41;Oslo;0158;
FOOT LOCKER NORWAY B.V. NORWEGIAN BRANCH NUF;10,72973035;59,91390681;c/o Kvale Advokatfirma DA Haakon VIIs gate 10;Oslo;0161;
WOLFORD SCANDINAVIA NORWAY NUF;10,72631093;59,92267526;Hegdehaugsveien 34;Oslo;0352;
SANSENES HAGE AS;11,05135642;59,95542726;Sørumsgata 5;Lillestrøm;2000;
RYGG BELYSNING AS;5,63503851;58,99939825;Ryggveien 18;Randaberg;4070;
ELEKTROVAREHUSET AS;30,04115315;69,72754211;Dr. Wessels gate 8;Kirkenes;9900;
OPTIKER HOGSTAD AS;9,65184149;59,13933926;Storgata 126A;Porsgrunn;3915;
GRIEG BURDE AS;10,99831776;59,97778169;Hvamveien 4;Skjetten;2013;
SPORT 1 OVE AUNLI AS;9,083979;63,29343168;Industriveien 1;Kyrksæterøra;7200;
TYNSET BOKHANDEL AS;10,77627834;62,27551082;Brugata 2A;Tynset;2500;
TORKELSEN INTERIØR AS;6,5440645;60,06949553;Eitrheimsvegen 18;Odda;5750;
OPTIKER GØSTA SAASTAD AS;9,53980091;61,77108219;Johan Nygårds gate 11A;Otta;2670;AMFI Otta
FØRDE OPTIKK AS;5,85240273;61,45204129;Storehagen 7;Førde;6800;
MONGSTAD SERVICE AS;5,01813449;60,80047244;Litlås 16;Mongstad;5954;
HOA BLOMSTER AS;10,74287307;59,91440087;Akersgata 47;Oslo;0180;
NESTTUN PARFYMERI AS;5,35422888;60,31746345;Østre Nesttunvegen 16;Nesttun;5221;AMFI Nesttun
NYLAND BLOMSTER;10,46484156;59,422868;Øvre Keisemark 43;Horten;3183;
BLOMSTERHUSET;5,36834413;60,3612987;Nattlandsveien 76B;Bergen;5094;
MATKROKEN KJERRINGØY;14,76191232;67,52003897;Kjerringøyveien 1145;Kjerringøy;8093;
LANDBRUK NÆRBØ;5,64111488;58,66814826;Torggata 2;Nærbø;4365;
LANDBRUK VOLL;5,6052194;58,80578784;Vollvegen 55;Voll;4354;
COOP VIKESÅ SA AVD BYGGMIX;6,07818028;58,63184553;Vikesågata 1;Vikeså;4389;
UNDHEIM HANDELSLAG SA AVD KRAFTFOR OG GJØDNING;5,77314253;58,68224674;Kjelvevegen 1;Undheim;4342;
OBS ELEKTRISK OG DATA RUDSHØGDA;10,8144242;60,90932004;Stolvstadvegen 2;Rudshøgda;2360;
COOP FINNMARK SA AVD JERNVARE KJØLLEFJORD;27,35253239;70,94548331;Strandvegen 148-150;Kjøllefjord;9790;
DECADES KANEBOGEN AVD 465;16,56626703;68,77943861;Skilleveien 5;Harstad;9411;
PLANTASJEN NORGE AS AVD ØYA LARVIK;10,06067801;59,04434891;Tjøllingveien 45B;Larvik;3262;
CUBUS TASTA AVD 859;5,69110645;58,98399993;Tastatunet 1;Stavanger;4027;Alti Tasta
DRESSMANN AS AVD M15 ØSTFOLDHALLEN XL;10,99305616;59,25156821;Dikeveien 28;Rolvsøy;1661;
ZAVANNA AMFI EIDSVOLL AVD 551;11,17419776;60,28111772;Gladbakkvegen 1;Råholt;2070;
MOTEK AS AVD LARVIK;10,06289152;59,07786293;Elveveien 130;Larvik;3271;
HEIDENREICH AS AVD FREDRIKSTAD;10,92193428;59,21803939;Mosseveien 5;Fredrikstad;1610;
HEIDENREICH AS AVD NESTTUN;5,35304907;60,30757152;Slåtthaugvegen 17;Nesttun;5222;
HYDROSCAND AS AVD STJØRDAL;10,89598783;63,47575634;Industrivegen 4A;Stjørdal;7502;
AHLSELL NORGE AS AVD VOSS;6,46164079;60,63366068;Brynaskogen 6;Voss;5705;
LINDBAK AS AVD TROMSØ;18,91624703;69,66755788;Kvaløyvegen 311;Tromsø;9016;
CHRISTIANIA BELYSNING AS AVD BEKKESTUA;10,58804704;59,91636634;Gamle Ringeriksvei 34;Bekkestua;1357;Bekkestua Senter
MEKO NORWAY AS AVD HARSTAD;16,58323513;68,78129417;Klubbholmen 6B;Harstad;9409;
FLÜGGER FARVE NORDSTRAND;10,80013936;59,85149678;Ekebergveien 312;Oslo;1166;
ONNINEN AS AVD PROFFMARKED TROMSØ;18,93024755;69,67605769;Ærfuglvegen 3A;Tromsø;9015;
BILEXTRA OS;5,46632919;60,18914898;Jordmorsvingen 4;Os;5200;
TESS NORD AS AVD SVEBERG;10,74058945;63,41933261;Vuluvegen 335;Malvik;7563;
BIK BOK OASEN STORSENTER AVD 62 C;5,30788142;59,37792906;Austbøvegen 16;Karmsund;5542;Oasen Storsenter
RITUALS COSMETICS NORWAY AS AVD FREDRIKSTAD TORVBYEN;10,93911039;59,21448936;Brochs gate 7-11;Fredrikstad;1607;
HUNKEMÖLLER NORWAY AS AVD SARTOR STORSENTER;5,12407613;60,35849587;Sartor Storsenter Sartorvegen 12;Straume;5353;Sartor Senter
DOGMAN BUTIKKER AS AVD SKI;10,83690474;59,71906372;Torgveien 2;Ski;1400;
MAANESTEN AS AVD KIRKEGATA;5,73221758;58,97149454;Kirkegata 25;Stavanger;4006;
MAANESTEN AS AVD KVADRAT;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;
SPAR GAUSDAL;10,22772107;61,22634477;Gausdalsvegen 1577C;Østre Gausdal;2651;
TOOLS AS AVD SKEDSMOKORSET;11,04567376;60,01349491;Lurudveien 7;Skedsmokorset;2020;
RETAIL LEX STRØMMEN;11,00733283;59,94728603;Støperiveien 5;Strømmen;2010;Strømmen Storsenter
FLYING TIGER COPENHAGEN HAMAR;11,04671992;60,79870127;Aslak Bolts gate 48;Hamar;2316;Maxi Storsenter
COOP MIDT NORGE SA AVD 141 COOP MARKED STOD;11,71026434;64,08596442;Vassinghaugen 13;Steinkjer;7717;
KOCH AS COSMETIQUE KOCH KIRKEGATEN;5,73221602;58,97143569;Kirkegata 23;Stavanger;4006;
